Category,Sub-category,User,Account,Expense-Frequency,Min-expenses-amount,Max-expenses-amount,Max-times-per-month,Valid-expense-types
Restaurant,Takeaway,Anirban,Anirban-ICICI,ad-hoc,300,2500,10,"Takeaway from Nagarjuna|Parcel from CTR|Dinner Takeaway|Lunch Parcel"
Restaurant,Food Delivery,Anirban,Anirban-ICICI,ad-hoc,150,1500,15,"Zomato Order - Biryani|Swiggy Order - Pizza|Late Night Food Order|Food Delivery - Chinese"
Restaurant,Snacks,Anirban,Anirban-ICICI,ad-hoc,50,500,18,"Snacks from Local Bakery|Evening Chaat|Samosa & Tea|Puffs from Iyengar Bakery"
Restaurant,Cafe,Anirban,Anirban-ICICI,ad-hoc,100,800,15,"Coffee @ Third Wave|Snack @ Starbucks|Cafe Coffee Day Bill|Meeting @ Cafe"
Restaurant,Drinks,Anirban,Anirban-ICICI,ad-hoc,80,600,12,"Drinks @ Toit|Fresh Juice|Cold Drinks Purchase|Lassi/Milkshake"
Restaurant,Dine-in,Puspita,Puspita-SBI,ad-hoc,350,3000,7,"Lunch @ CTR|Dinner @ Truffles|Family Dinner Out|Weekend Lunch"
Restaurant,Takeaway,Puspita,Puspita-SBI,ad-hoc,250,2000,9,"Takeaway from Meghana|Dinner Parcel|Lunch Takeaway - Office|Weekend Food Parcel"
Restaurant,Food Delivery,Puspita,Puspita-SBI,ad-hoc,150,1300,14,"Swiggy Order - Empire|Zomato - Pasta|Food Delivery - Rolls|Quick Meal Order"
Restaurant,Snacks,Puspita,Puspita-SBI,ad-hoc,50,450,16,"Snacks from Nagarjuna|Evening Snacks|Office Snacks Purchase|Bakery Items"
Restaurant,Cafe,Puspita,Puspita-SBI,ad-hoc,100,700,14,"Coffee @ Cafe Coffee Day|Snack @ Starbucks|Meeting @ Cafe|Tea/Coffee Break"
Restaurant,Drinks,Puspita,Puspita-SBI,ad-hoc,80,500,10,"Drinks from Truffles|Fresh Juice Order|Coconut Water|Cold Coffee"
Insurance Premium,Life Insurance,Anirban,Anirban-SBI,bi-annually,55000,55000,1,"Life Insurance Premium Payment"
Insurance Premium,ULIP,Anirban,Anirban-ICICI,monthly,4000,4000,1,"Monthly ULIP Premium"
Insurance Premium,Health Insurance,Anirban,Anirban-ICICI,monthly,1200,1200,1,"Monthly Health Insurance Premium"
Insurance Premium,Vehicle Insurance,Anirban,Anirban-ICICI,annually,5000,15000,1,"Annual Car Insurance Premium|Annual Bike Insurance"
Household,Electricity Bill,Puspita,Puspita-SBI,bi-monthly,500,3000,1,"BESCOM Bill Payment|Electricity Bill"
Household,Plumbing,Anirban,Anirban-ICICI,ad-hoc,300,3000,2,"Leaky Tap Fix|Toilet Flush Repair|Pipe Leakage Repair|Water Heater Plumbing"
Household,Plumbing,Puspita,Puspita-SBI,ad-hoc,300,2500,2,"Sink Blockage Clear|Bathroom Pipe Fix|Kitchen Plumbing|Geyser Pipe Repair"
Household,Electrical Repairs,Anirban,Anirban-ICICI,ad-hoc,200,2500,2,"Fan Regulator Repair|Switch Board Fix|Light Fitting Change|MCB Tripping Fix"
Household,Electrical Repairs,Puspita,Puspita-SBI,ad-hoc,200,2000,2,"Socket Repair|Wiring Check|Tube Light Replacement|Doorbell Repair"
Household,Appliance Repair,Anirban,Anirban-ICICI,ad-hoc,500,8000,1,"AC Service/Repair|Fridge Repair|Washing Machine Service|Microwave Repair"
Household,Appliance Repair,Puspita,Puspita-SBI,ad-hoc,500,6000,1,"Mixer Grinder Repair|Geyser Service|Water Purifier Service|Induction Stove Repair"
Household,Cleaning,Anirban,Anirban-ICICI,ad-hoc,400,1500,4,"Urban Company Cleaning - Kitchen|Bathroom Deep Cleaning|Sofa Cleaning Service|Home Cleaning Supplies"
Household,Cleaning,Puspita,Puspita-SBI,ad-hoc,400,1800,4,"Urban Company Cleaning - Full Home|Window Cleaning|Balcony Cleaning|Cleaning Liquid Purchase"
Household,Pest Control,Anirban,Anirban-SBI,ad-hoc,400,2000,1,"PCI Service - Cockroach|Termite Control|Mosquito Control Spray|General Pest Control"
Household,Pest Control,Anirban,Anirban-ICICI,ad-hoc,400,2000,1,"PCI Service - Cockroach|Termite Control|Mosquito Control Spray|General Pest Control"
Household,Pest Control,Puspita,Puspita-SBI,ad-hoc,400,1800,1,"PCI Service - Ants|Bed Bug Treatment|Rodent Control|Pest Control Service"
Household,Bike Maintenance,Anirban,Anirban-SBI,ad-hoc,500,2500,1,"Bike Servicing|Oil Change|Tyre Puncture Repair|Bike Wash"
Household,Bike Maintenance,Anirban,Anirban-ICICI,ad-hoc,500,2500,1,"Bike Servicing|Oil Change|Tyre Puncture Repair|Bike Wash"
Household,Bike Maintenance,Puspita,Puspita-SBI,ad-hoc,400,2000,1,"Scooter Servicing|Activa Repair|Tyre Air Check|Scooter Wash"
Household,Car Maintenance,Anirban,Anirban-SBI,ad-hoc,1000,10000,1,"Car Servicing|Wheel Alignment|Car Wash & Polish|AC Gas Refill"
Household,Car Maintenance,Anirban,Anirban-ICICI,ad-hoc,1000,12000,1,"Car Servicing|Wheel Alignment|Car Wash & Polish|AC Gas Refill"
Household,Car Maintenance,Puspita,Puspita-SBI,ad-hoc,800,8000,1,"Car Wash|Minor Repair|Interior Cleaning|Tyre Pressure Check"
Household,Furniture,Anirban,Anirban-SBI,ad-hoc,1500,25000,1,"New Sofa Purchase|Dining Table Repair|Bookshelf Assembly|Study Chair"
Household,Furniture,Anirban,Anirban-ICICI,ad-hoc,1500,30000,1,"New Sofa Purchase|Dining Table Repair|Bookshelf Assembly|Study Chair"
Household,Furniture,Puspita,Puspita-SBI,ad-hoc,1000,20000,1,"Shoe Rack Purchase|Center Table|Bedroom Furniture Repair|Mattress Purchase"
Household,Kitchen Tools,Anirban,Anirban-SBI,ad-hoc,100,3000,5,"New Pan/Tawa|Cutlery Set|Storage Containers|Mixer Jar|Pressure Cooker Gasket"
Household,Kitchen Tools,Anirban,Anirban-ICICI,ad-hoc,100,3000,5,"New Pan/Tawa|Cutlery Set|Storage Containers|Mixer Jar|Pressure Cooker Gasket"
Household,Kitchen Tools,Puspita,Puspita-SBI,ad-hoc,100,3500,6,"Dinner Set Purchase|Serving Bowls|Induction Cookware|Kitchen Knife Set|Vegetable Chopper"
Household,Ironing,Anirban,Anirban-SBI,ad-hoc,50,300,8,"Local Presswala Bill|Weekly Ironing|Urgent Ironing|Shirt/Pant Press"
Household,Ironing,Anirban,Anirban-ICICI,ad-hoc,50,300,8,"Local Presswala Bill|Weekly Ironing|Urgent Ironing|Shirt/Pant Press"
Household,Ironing,Puspita,Puspita-SBI,ad-hoc,50,350,10,"Laundry Ironing Bill|Saree Ironing|Kurti Press|Weekly Clothes Ironing"
Household,Maid,Puspita,Puspita-SBI,monthly,2500,2500,1,"Monthly Maid Salary"
Connectivity,Airtel WiFi,Anirban,Anirban-ICICI,once every 6 months,4800,9000,1,"Airtel Broadband Bill Payment"
Connectivity,Jio Recharge,Anirban,Anirban-ICICI,once every 3 months,600,1200,1,"Jio Mobile Recharge"
Connectivity,Airtel Mobile,Anirban,Anirban-ICICI,once every 3 months,500,1000,1,"Airtel Postpaid/Prepaid Bill"
Connectivity,Netflix,Anirban,Anirban-ICICI,monthly,200,650,1,"Netflix Subscription Fee"
Connectivity,Prime Video,Anirban,Anirban-ICICI,annually,1499,1499,1,"Amazon Prime Annual Subscription"
Connectivity,Disney+ Hotstar,Anirban,Anirban-ICICI,annually,900,1500,1,"Hotstar Annual Subscription"
Grocery,BigBasket,Puspita,Puspita-SBI,ad-hoc,500,5000,6,"BB Monthly Stockup|BB Weekly Veggies|BigBasket Fruits Order|BB Quick Needs"
Grocery,Amazon,Puspita,Puspita-SBI,ad-hoc,300,4000,8,"Amazon Pantry Order|Amazon Fresh Groceries|Cleaning Supplies - Amazon|Snacks from Amazon"
Grocery,Flipkart Grocery,Puspita,Puspita-SBI,ad-hoc,300,3500,5,"FK Grocery Order|Flipkart Supermart|Staples from Flipkart|FK Quick Groceries"
Grocery,Zepto,Puspita,Puspita-SBI,ad-hoc,50,1500,15,"Zepto Quick Order - Milk|Zepto - Urgent Need|Late Night Zepto|Zepto - Bread/Eggs"
Grocery,Local Store,Puspita,Puspita-SBI,ad-hoc,50,2000,20,"Local Kirana Purchase|Nearby Store - Veggies|Milk from Local Shop|Urgent item from corner store"
Grocery,Other,Puspita,Puspita-SBI,ad-hoc,100,1000,10,"Organic Store Purchase|Meat Shop Bill|Specialty Food Item|Farmer's Market Veggies"
Grocery,BigBasket,Anirban,Anirban-ICICI,ad-hoc,500,4500,5,"BB Monthly Groceries|BigBasket Weekly Topup|Fruits & Veggies - BB|BB Pantry Order"
Grocery,Amazon,Anirban,Anirban-ICICI,ad-hoc,300,3500,7,"Amazon Pantry Weekly|Amazon Fresh Order|Household items - Amazon|Snacks & Drinks - Amazon"
Grocery,Flipkart Grocery,Anirban,Anirban-ICICI,ad-hoc,300,3000,4,"Flipkart Grocery Topup|FK Supermart Staples|Monthly Needs - FK|Quick Order - Flipkart"
Grocery,Zepto,Anirban,Anirban-ICICI,ad-hoc,50,1200,18,"Zepto - Milk/Curd|Urgent Need - Zepto|Zepto Snacks Order|Late night Zepto delivery"
Grocery,Local Store,Anirban,Anirban-ICICI,ad-hoc,50,1800,20,"Local Kirana - Daily Need|Nearby Shop - Veggies|Bread/Eggs from Local Store|Quick buy from corner shop"
Grocery,Other,Anirban,Anirban-ICICI,ad-hoc,100,800,8,"Local Market Purchase|Specific ingredient shop|Meat/Fish Purchase|Miscellaneous grocery item"
Beauty,Nykaa,Puspita,Puspita-SBI,ad-hoc,300,5000,4,"Nykaa Makeup Purchase|Nykaa Skincare Order|Haircare from Nykaa|Nykaa Sale Order"
Beauty,Meesho,Puspita,Puspita-SBI,ad-hoc,200,3000,4,"Meesho Beauty Find|Meesho Skincare Item|Makeup Tools - Meesho|Meesho Combo Offer"
Beauty,Purplle,Puspita,Puspita-SBI,ad-hoc,250,4000,4,"Purplle Order - Skincare|Purplle Makeup Haul|Hair Products - Purplle|Purplle Sale Purchase"
Beauty,Salon,Puspita,Puspita-SBI,ad-hoc,500,4000,2,"Haircut @ Salon|Facial Treatment|Manicure/Pedicure|Waxing Service"
Beauty,Makeup,Puspita,Puspita-SBI,ad-hoc,300,4500,3,"Lipstick Purchase|Foundation Topup|Eye Makeup Kit|Compact Powder"
Beauty,Skincare,Puspita,Puspita-SBI,ad-hoc,300,5000,4,"Moisturizer Purchase|Sunscreen Topup|Face Wash/Cleanser|Serum Order"
Beauty,Nykaa,Puspita,Puspita-Bandhan,ad-hoc,500,6000,3,"Nykaa Luxury Makeup|High-end Skincare - Nykaa|Fragrance Purchase - Nykaa|Nykaa Big Order"
Beauty,Meesho,Puspita,Puspita-Bandhan,ad-hoc,300,4000,3,"Meesho Beauty Combo|Jewellery from Meesho|Meesho Saree/Dress|Meesho Home Decor Beauty"
Beauty,Purplle,Puspita,Puspita-Bandhan,ad-hoc,400,5000,3,"Purplle Haircare Set|Purplle Skincare Combo|Purplle Bulk Order|Imported Brand - Purplle"
Beauty,Salon,Puspita,Puspita-Bandhan,ad-hoc,800,5000,2,"Hair Spa Treatment|Bridal Makeup Trial|Full Body Waxing|Premium Salon Service"
Beauty,Makeup,Puspita,Puspita-Bandhan,ad-hoc,500,5500,2,"MAC Lipstick|Estee Lauder Foundation|Huda Beauty Palette|Sephora Makeup Haul"
Beauty,Skincare,Puspita,Puspita-Bandhan,ad-hoc,500,6000,3,"Clinique Moisturizer|Forest Essentials Kit|Kiehl's Serum|Body Shop Haul"
Shopping,Amazon,Puspita,Puspita-SBI,ad-hoc,200,10000,10,"Amazon Order - Electronics|Amazon - Books|Amazon - Home Needs|Amazon Fashion"
Shopping,Flipkart,Puspita,Puspita-SBI,ad-hoc,200,10000,8,"Flipkart Order - Gadget|Flipkart - Clothing|FK - Kitchen Appliance|Flipkart Sale Purchase"
Shopping,Meesho,Puspita,Puspita-SBI,ad-hoc,150,8000,7,"Meesho Kurti Set|Meesho Home Decor|Meesho Find - Saree|Meesho Kitchen Item"
Shopping,Nykaa,Puspita,Puspita-SBI,ad-hoc,300,6000,5,"Nykaa Fashion - Dress|Nykaa - Accessories|Innerwear from Nykaa|Nykaa Handbag"
Shopping,Purple,Puspita,Puspita-SBI,ad-hoc,300,6000,5,"Purplle Fashion Item|Purplle Accessories|Purplle Combo Deal|Purplle Gifting" # Assuming Purple is Purplle
Shopping,Lifestyle,Puspita,Puspita-SBI,ad-hoc,500,12000,4,"Lifestyle Store - Clothing|Lifestyle - Home Decor|Shoes from Lifestyle|Lifestyle Gift Voucher"
Shopping,Max,Puspita,Puspita-SBI,ad-hoc,400,8000,5,"Max Fashion - Tshirts|Max - Kids Wear|Max - Footwear|Max Home Linen"
Shopping,Myntra,Puspita,Puspita-SBI,ad-hoc,500,10000,6,"Myntra Order - Jeans|Myntra - Ethnic Wear|Shoes from Myntra|Myntra Sale Haul"
Shopping,Amazon,Anirban,Anirban-ICICI,ad-hoc,200,15000,12,"Amazon - Electronics Gadget|Amazon - Books Order|Amazon - PC Accessory|Amazon Prime Day Order"
Shopping,Flipkart,Anirban,Anirban-ICICI,ad-hoc,200,15000,10,"Flipkart - Mobile Phone|FK - Laptop Accessory|Flipkart BBD Sale|FK - Large Appliance"
Shopping,Meesho,Anirban,Anirban-ICICI,ad-hoc,150,7000,8,"Meesho - Shirt/Tshirt|Meesho Find - Utility Item|Meesho Home Product|Meesho Random Purchase"
Shopping,Nykaa,Anirban,Anirban-ICICI,ad-hoc,300,5000,4,"NykaaMan - Grooming Kit|Nykaa - Gift for Wife|Nykaa Perfume|Nykaa Wellness Product"
Shopping,Purple,Anirban,Anirban-ICICI,ad-hoc,300,5000,4,"Purplle - Men's Grooming|Purplle Gift Card|Purplle Combo Offer|Purplle Wellness" # Assuming Purple is Purplle
Shopping,Lifestyle,Anirban,Anirban-ICICI,ad-hoc,500,15000,5,"Lifestyle Store - Formal Wear|Lifestyle - Shoes|Lifestyle - Watch|Lifestyle Home Centre"
Shopping,Max,Anirban,Anirban-ICICI,ad-hoc,400,9000,6,"Max Fashion - Casual Shirt|Max - Trousers|Max - Sportswear|Max Winter Wear"
Shopping,Myntra,Anirban,Anirban-ICICI,ad-hoc,500,12000,7,"Myntra - Formal Shoes|Myntra - Jacket|Myntra - Ethnic Kurta|Myntra Watch Purchase"
Shopping,Amazon,Anirban,Anirban-SBI,ad-hoc,200,10000,8,"Amazon Order - Gadget Accessory|Amazon Books|Amazon Household Item|Amazon Pantry Addon"
Shopping,Flipkart,Anirban,Anirban-SBI,ad-hoc,200,10000,7,"Flipkart Order - Small Electronic|FK Book Order|FK Utility Item|Flipkart Quick Order"
Shopping,Meesho,Anirban,Anirban-SBI,ad-hoc,150,7000,6,"Meesho - Casual Wear|Meesho Utility Find|Meesho Small Item|Meesho Home Item"
Shopping,Nykaa,Anirban,Anirban-SBI,ad-hoc,300,5000,3,"NykaaMan Product|Nykaa Gift|Nykaa Small Item|Nykaa Health Product"
Shopping,Purple,Anirban,Anirban-SBI,ad-hoc,300,5000,3,"Purplle - Grooming|Purplle Gift|Purplle Small Item|Purplle Health" # Assuming Purple is Purplle
Shopping,Lifestyle,Anirban,Anirban-SBI,ad-hoc,500,12000,4,"Lifestyle Store - Casuals|Lifestyle Home Item|Lifestyle Accessory|Lifestyle Sale"
Shopping,Max,Anirban,Anirban-SBI,ad-hoc,400,8000,4,"Max Fashion - Basics|Max Innerwear|Max Sports Item|Max Accessory"
Shopping,Myntra,Anirban,Anirban-SBI,ad-hoc,500,10000,5,"Myntra - Casual Shoes|Myntra T-Shirt Order|Myntra Accessory|Myntra Gift Voucher"
Health,Doctor Visit,Anirban,Anirban-ICICI,ad-hoc,500,1500,2,"Consultation @ Local GP|Visit to Specialist|Dental Checkup|Physio Session Fee"
Health,Medicines,Anirban,Anirban-ICICI,ad-hoc,100,3000,5,"Apollo Pharmacy Bill|Local Chemist Purchase|Prescription Refill|Pain Relief Spray/Balm"
Health,Lab Test,Anirban,Anirban-ICICI,ad-hoc,500,5000,2,"Test at Metropolis|Thyrocare Package|Local Lab - Blood Test|Diagnostic Scan"
Health,Health Checkup,Anirban,Anirban-ICICI,ad-hoc,2000,10000,1,"Annual Health Checkup Package|Master Health Check|Preventive Health Test|Full Body Checkup"
Health,Doctor Visit,Puspita,Puspita-SBI,ad-hoc,500,1500,2,"Consultation @ Manipal|Visit to Gynecologist|Pediatrician Fee|ENT Specialist Visit"
Health,Medicines,Puspita,Puspita-SBI,ad-hoc,100,3000,5,"Pharmacy Bill - Apollo|Local Chemist - Meds|Vitamins/Supplements|Cold/Flu Medicine"
Health,Lab Test,Puspita,Puspita-SBI,ad-hoc,500,5000,2,"Blood Test @ Local Lab|Test @ Metropolis|Thyroid Test|Scan @ Diagnostic Center"
Health,Health Checkup,Puspita,Puspita-SBI,ad-hoc,2000,10000,1,"Women's Health Checkup|Annual Checkup Package|Preventive Screening|Full Body Test"
Utilities,Electricity,Anirban,Anirban-ICICI,bi-monthly,500,3000,1,"BESCOM Bill Payment|Electricity Bill - Anirban Share"
Utilities,Water,Anirban,Anirban-ICICI,monthly,200,800,1,"BWSSB Water Bill"
Utilities,Gas Cylinder,Anirban,Anirban-ICICI,bi-monthly,1100,1200,1,"Indane/HP Gas Booking"
Utilities,Maintenance,Anirban,Anirban-ICICI,monthly,2000,4000,1,"Apartment Monthly Maintenance"
Utilities,Garbage Collection,Anirban,Anirban-ICICI,monthly,100,250,1,"Monthly Waste Pickup Fee"
Utilities,Electricity,Puspita,Puspita-SBI,bi-monthly,500,2800,1,"BESCOM Bill Payment|Electricity Bill - Puspita Share"
Utilities,Water,Puspita,Puspita-SBI,monthly,200,750,1,"BWSSB Water Bill Payment"
Utilities,Gas Cylinder,Puspita,Puspita-SBI,bi-monthly,1100,1200,1,"Gas Cylinder Booking"
Utilities,Maintenance,Puspita,Puspita-SBI,monthly,2000,3800,1,"Monthly Maintenance Fee - Apt"
Utilities,Garbage Collection,Puspita,Puspita-SBI,monthly,100,250,1,"Garbage Collection Charges"
Gifts & Donations,Family,Anirban,Anirban-SBI,ad-hoc,500,5000,3,"Gift for Parents|Money Transfer - Sibling|Birthday Gift - Cousin|Festival Gift - Family"
Gifts & Donations,Family,Anirban,Anirban-ICICI,ad-hoc,500,5000,3,"Gift for Parents|Money Transfer - Sibling|Birthday Gift - Cousin|Festival Gift - Family"
Gifts & Donations,Family,Puspita,Puspita-SBI,ad-hoc,500,4000,4,"Gift for Parents Anniversary|Rakhi Gift|Birthday Gift - Niece/Nephew|Wedding Gift - Relative"
Gifts & Donations,Friends,Anirban,Anirban-SBI,ad-hoc,300,3000,4,"Friend's Birthday Gift|Wedding Gift - Friend|Housewarming Present|Farewell Gift - Colleague"
Gifts & Donations,Friends,Anirban,Anirban-ICICI,ad-hoc,300,3000,4,"Friend's Birthday Gift|Wedding Gift - Friend|Housewarming Present|Farewell Gift - Colleague"
Gifts & Donations,Friends,Puspita,Puspita-SBI,ad-hoc,300,2500,5,"Gift for Friend's Baby|Birthday Present - Bestie|Friend's Wedding Gift|Lunch Treat for Friend"
Gifts & Donations,Charity,Anirban,Anirban-SBI,ad-hoc,100,2000,2,"Donation to PM Cares|Contribution to NGO|Local Charity Drive|Religious Donation"
Gifts & Donations,Charity,Anirban,Anirban-ICICI,ad-hoc,100,2000,2,"Donation to PM Cares|Contribution to NGO|Local Charity Drive|Religious Donation"
Gifts & Donations,Charity,Puspita,Puspita-SBI,ad-hoc,100,1500,2,"Donation - Child Education|Old Age Home Contribution|Animal Shelter Donation|Disaster Relief Fund"
Gifts & Donations,Temple,Anirban,Anirban-SBI,ad-hoc,50,1000,4,"Temple Donation Box|Offering during Puja|Special Puja Contribution|Temple Hundi"
Gifts & Donations,Temple,Anirban,Anirban-ICICI,ad-hoc,50,1000,4,"Temple Donation Box|Offering during Puja|Special Puja Contribution|Temple Hundi"
Gifts & Donations,Temple,Puspita,Puspita-SBI,ad-hoc,50,1500,5,"Temple Visit Offering|Donation for Temple Event|Prasad Purchase|Puja Items"
Entertainment,Movies,Anirban,Anirban-ICICI,ad-hoc,500,2000,4,"PVR Movie Tickets|INOX Tickets & Snacks|Movie Outing|IMAX Experience"
Entertainment,Concerts,Anirban,Anirban-ICICI,ad-hoc,1000,5000,1,"Live Music Concert Ticket|Standup Comedy Show|Music Festival Pass|Cultural Event Ticket"
Entertainment,Games,Anirban,Anirban-ICICI,ad-hoc,300,3000,3,"Bowling Alley Fee|Gaming Cafe Charges|Online Game Purchase|Board Game Cafe"
Entertainment,Movies,Puspita,Puspita-SBI,ad-hoc,400,1800,4,"Movie Tickets - Cinepolis|Multiplex Snacks|Movie Date Expense|OTT Movie Rental"
Entertainment,Concerts,Puspita,Puspita-SBI,ad-hoc,800,4000,1,"Concert Ticket Purchase|Live Show Entry Fee|Music Gig Expense|Comedy Show Ticket"
Entertainment,Games,Puspita,Puspita-SBI,ad-hoc,200,2500,3,"Gaming Zone Visit|Arcade Games|Online Game Subscription|Escape Room Activity"
Education,Online Courses,Anirban,Anirban-SBI,ad-hoc,500,10000,1,"Coursera Course Fee|Udemy Course Purchase|LinkedIn Learning Subscription|Specialized Online Training"
Education,Books,Anirban,Anirban-SBI,ad-hoc,200,2000,4,"Technical Book Purchase|Fiction Novel Order|Kindle eBook Purchase|Magazine Subscription"
Education,Workshops,Anirban,Anirban-SBI,ad-hoc,1000,5000,1,"Attend Tech Workshop|Professional Seminar Fee|Skill Development Workshop|Conference Registration"
Education,Online Courses,Puspita,Puspita-SBI,ad-hoc,500,8000,1,"EdX Course Fee|Skillshare Subscription|Online Certification Course|Language Learning App"
Education,Books,Puspita,Puspita-SBI,ad-hoc,200,1500,5,"Non-fiction Book Purchase|Cookbook Order|Children's Books|Self-Help Book"
